Code,Name,Amount,Round,Vat number,Country
2358,AXIS Aviation Austria GmbH,49.8,50,ATU78323306,Austria
2534,JetView GmbH,785.48,785,ATU78020035,Austria
3114,Arion Retail Group Belgium,30.0,30,BE1014587039,Belgium
883,Fugro Belgium BV,1541.0,1541,BE0403026288,Belgium
493,GEOxyz bvba,5188.39,5188,BE0465233774,Belgium
596,Geo Aqua bvba,1604.84,1605,BE0890302622,Belgium
237,International Food Services NV,1689.57,1690,BE0472409202,Belgium
3070,Seasoils (Enviros),187.8,188,BE0515949235,Belgium
2968,Subsea Global Solutions Belgium BV,750.0,750,BE0502793758,Belgium
2920,Dark Waves Ltd,1964.04,1964,BG207801369,Bulgaria
2652,Hit Tourism LTD,13274.05,13274,BG103594726,Bulgaria
404,Visitship Ltd,50.0,50,BG204690910,Bulgaria
2918,windshipping,4035.02,4035,BG205047575,Bulgaria
2404,Marine Air Split,1255.77,1256,HR90789004458,Croatia
136,Asia Marine Philippines,12520.16,12520,CY10342881S,Cyprus
1439,Atlas Inexco CY Ltd.,390.36,390,CY10342092N,Cyprus
488,Cymare Shipmanagement Ltd,200.0,200,CY10309832T,Cyprus
2809,Eurica Shipping Ltd,2495.29,2495,CY10303314V,Cyprus
658,Henley Travel LTD,6802.47,6802,CY10110942W,Cyprus
1191,IO Line Limited,56.8,57,CY10440516Z,Cyprus
1520,Lowland International Shipping Cyprus Ltd,1566.14,1566,CY10252740F,Cyprus
2446,OPEN OCEAN SERVICES LTD,179.99,180,CY60023930P,Cyprus
3117,OSM SHIP MANAGEMENT CYPRUS LTD,1749.23,1749,CY10377387I,Cyprus
1210,Ocean Advice Ltd.,1284.01,1284,CY10438212J,Cyprus
337,Reederei Nord Shipmanagement Ltd.,1171.65,1172,CY10344686Z,Cyprus
369,SEACREW MANAGEMENT LTD,1958.39,1958,CY10205318D,Cyprus
375,SMT SHIPPING (CYPRUS ) LTD,2567.3,2567,CY10039349U,Cyprus
204,Scylla Gastro Ltd,35927.77,35928,CY10318112E,Cyprus
498,Scylla Nautic Ltd,28485.84,28486,CY10338093B,Cyprus
2650,Unipolar Shipping Limited,588.8,589,CY60083461Z,Cyprus
868,C-bed Holding A/S,85.5,86,DK37183555,Denmark
3056,Christiania Shipping A/S,167.0,167,DK40533516,Denmark
1579,Cyan Renewables Aps,712.84,713,DK43887904,Denmark
1628,Cyan Renewables ac1  Aps,3597.96,3598,DK43958496,Denmark
2901,ESVAGT A/S,3569.81,3570,DK60698813,Denmark
667,MHO Operations ApS,4357.16,4357,DK38948563,Denmark
840,Ocean Zephyr ApS,1270.86,1271,DK41294574,Denmark
2347,SHIP 103 ApS,702.94,703,DK40344446,Denmark
1080,Ship 101 ApS,164.82,165,DK43303414,Denmark
1295,Ship 102 ApS,804.06,804,DK43303384,Denmark
2348,Ship 104 ApS,848.92,849,DK44210096,Denmark
2349,Ship 105 ApS,184.18,184,DK44210126,Denmark
380,Svendborg Bugser A/S,307.25,307,DK21792802,Denmark
123,TORM A/S,285.75,286,DK22460218,Denmark
1424,Terntank Rederi A/S,6974.43,6974,DK34584362,Denmark
128,Amisco AS,4721.84,4722,EE100100240,Estonia
1524,Atrica-Marine OU,1250.64,1251,EE100218912,Estonia
2267,FinMetalock,1709.78,1710,EE101329758,Estonia
2798,HFH Grupp OÜ,325.0,325,EE101584289,Estonia
548,Klip Marine Shipmanagement Ltd,653.11,653,EE101033617,Estonia
986,OU VLM REPAIR,3310.88,3311,EE101606918,Estonia
2095,Swaileap OÜ LSA,6278.9,6279,EE102074617,Estonia
2310,TS Shipping OÜ,617.74,618,EE101597632,Estonia
391,Tschudi Ship Management AS,1149.14,1149,EE100708642,Estonia
206,ESL Shipping Oy,7939.44,7939,FI02011264,Finland
3124,Oy AtoB@C Shipping Ab,-0.0,0,FI25781405,Finland
334,Rederi ab Nathalie,2854.89,2855,FI22811672,Finland
965,COMPAGNIE DU PONANT,2274.5,2274,FR83344497011,France
564,GeoXYZ sarl,446.08,446,FR90507902211,France
2490,PXGEO France SAS,1437.91,1438,FR70918328766,France
382,THENAMARIS SHIPS MANAGEMENT INC,22.0,22,EL098010844,GREECE
945,AMARO Travel GmbH,53.6,54,DE309139121,Germany
2450,Air Partner International GmbH,672.04,672,DE184629207,Germany
1576,Andreas Zerr,173.2,173,DE221230922,Germany
152,Axxaz Europe GmbH,19230.99,19231,DE296988120,Germany
2736,Beteiligungsgesellschaft MS Santa Vanessa mbH & Co,23.0,23,DE232610165,Germany
2319,CPO Crewing GmbH & Co. KG for MV RDO Ace - 2520,85.0,85,DE249771948,Germany
2318,CPO Crewing GmbH & Co. KG for MV RDO Bremen - 2523,42.0,42,DE213881581,Germany
2594,CPO Crewing GmbH & Co. KG forRDO Endeavour - 2522,196.47,196,DE307865976,Germany
2107,CSN Crane Service North GmbH & Co. KG,2683.32,2683,DE293561563,Germany
197,DS Crewing Sevices GmbH,30.0,30,DE318346366,Germany
1553,Davit-Company GmbH & W. Harms,96.32,96,DE291870147,Germany
1169,EMS Crewing GmbH,146.0,146,DE262060886,Germany
2452,F.Laeisz GmbH Hamburg,53.6,54,DE170925486,Germany
231,GP Care Solutions GmbH,1540.93,1541,DE322179714,Germany
601,GoodCrew GmbH,2664.29,2664,DE326784905,Germany
2284,Hansa Safety Services GmbH,1085.05,1085,DE284814823,Germany
1146,KG MS 2. CPO Livorno Offen Reederei GmbH & Co. c/o,25.0,25,DE322053391,Germany
1145,KG MS CPO LA SPEZIA Offen Reederei UG (haftungsbes,383.0,383,DE298771680,Germany
2376,KG MS CPO VALENCIA Offen Reederei GmbH & Co c/o CP,46.0,46,DE257260686,Germany
1144,KG MS CPO VENEZIA Offen Reederei GmbH & Co. c/o CP,186.61,187,DE256596537,Germany
2015,KG MS Santa Viola Offen Reederei GmbH & Co. c/o CP,25.0,25,DE230140293,Germany
1435,M2L Pacific S.A.,1596.11,1596,DE811585869,Germany
1916,"MS ""Paganella 2"" GmbH & Co. KG",26.8,27,DE292632581,Germany
1856,"MS ""Pagna"" GmbH & Co. KG",75.0,75,DE261459100,Germany
1548,"MS ""PolarPacific"" GmbH & Co. KG",260.01,260,DE275633887,Germany
2859,MS BSG Bimini GmbH & Co.KG  c/o CPO Crewing GmbH &,25.0,25,DE346013071,Germany
2684,Martide Holding GmbH,-16.52,-17,DE450210277,Germany
309,NSB Crewing Solutions,4881.02,4881,DE283269969,Germany
310,NSB Reederei GmbH & Co. Kg,843.41,843,DE116474094,Germany
2238,Nordic Cruise Management GmbH & Co. KG,121.4,121,DE362363142,Germany
298,Nordic Hamburg Crewing Services GmbH,31386.0,31386,DE309948810,Germany
2678,Nordic Maritime Solutions GmbH & CO. KG,2397.4,2397,DE285660591,Germany
3088,Nordic Tokyo GmbH & Co. KG c/o Nordic Cruise Manag,182.4,182,DE451301791,Germany
3064,OBC by Avico GmbH,573.39,573,DE457137561,Germany
3017,SUNDAIR Gmbh,192.0,192,DE305307186,Germany
496,Scheibert & Meissner Personalberatung GbR,75.0,75,DE240712065,Germany
3026,T & T In Situ Machining GmbH,543.94,544,DE327579122,Germany
832,UHL Chartering GmbH & Co. KG,1446.3,1446,DE350330837,Germany
1065,UHL Crewing GmbH,5623.64,5624,DE330510394,Germany
396,USC Crew GmbH,10792.82,10793,DE274971782,Germany
3065,USC GmbH,2638.95,2639,DE334043640,Germany
397,UVIS UG (haftungsbeschraenkt),1187.48,1187,DE319612386,Germany
395,United Engineering Solutions GmbH,-24.0,-24,DE319531170,Germany
867,United Heavy Lift GmbH & Co. KG,1667.09,1667,DE350330845,Germany
637,over-C Crewing GmbH & Co. KG,1203.67,1204,DE321517652,Germany
2295,SPECIAL RISK SOLUTIONS (SRS) UNDERWRITING AGENCY M,281.0,281,EL801158466,Greece
896,SRS WHOLESALE (RE)INSURANCE BROKERS A.E.,264.0,264,EL801153262,Greece
2655,THALPIS CRS SA,117.69,118,EL996435463,Greece
3111,Arion Retail Group Hungary KFT,87.78,88,HU32887413,Hungary
1952,Fleet Air International Kft.,2080.78,2081,HU13819822,Hungary
2486,Alpha Marine,325.4,325,IE3417853KH,Ireland
2927,FLY4 Airlines Green Limited,18409.84,18410,IE4197556QH,Ireland
319,Pacific Blue Ltd,5628.06,5628,IE6333494O,Ireland
2040,Furtrans Tanker & Ship Management S.r.l,581.6,582,IT02122640994,Italy
1529,OMEGA S.R.L.,47.75,48,IT02343130270,Italy
34,C Teleport AS,228283.32,228283,LV40203039827,Latvia
85,Crewplanet SIA,93718.46,93718,LV40003789592,Latvia
907,HANSAEL SIA,25.0,25,LV40003660806,Latvia
2805,Martide Manning Latvia SIA,198.0,198,LV40203626599,Latvia
340,RIX Shipmanagement LTD,15969.25,15969,LV40103681236,Latvia
751,SIA OJ CREW RIGA,-25.0,-25,LV50203144731,Latvia
2420,SIA OJ Travel,15578.39,15578,LV40003286572,Latvia
1091,UNION AVIATION AS,8950.35,8950,LV40203294676,Latvia
2742,BALTNAUTIC SHIPPING LTD,1422.44,1422,LT417071917,Lithuania
569,GEO@SEA Luxembourg S.A.,6290.82,6291,LU32235384,Luxembourg
2964,MV KAREWOOD BRAVE — IMO 9281516,60.0,60,MT24502936,MALTA
862,Atlantis Tankers Group (Malta) Ltd.,344.24,344,MT21829715,Malta
1465,CldN Malta Ltd.,28320.51,28321,MT22140026,Malta
1415,DC Aviation Ltd.,1023.68,1024,MT18886308,Malta
2194,Elit’Avia Malta Ltd,5560.25,5560,MT19960414,Malta
218,FT Portoria Tankers Ltd,351.6,352,MT22398518,Malta
718,Furtrans Tanker Holdings Ltd,2381.7,2382,MT26731101,Malta
2408,Hans Travel Ltd,-250.0,-250,MT28450014,Malta
2939,Lighthouse Yachting Malta Limited,246.52,247,MT29674336,Malta
2963,MV KAREWOOD GLORY — IMO 9281504,177.78,178,MT24503928,Malta
2995,MV KAREWOOD PRIDE — IMO 9281499,90.0,90,MT24503035,Malta
2992,MV KAREWOOD STAR — IMO 9363986,107.81,108,MT24503217,Malta
2037,Quarto Tankers Ltd  - 25/16 Vincenti Buildings,1030.85,1031,MT27270636,Malta
2036,Quinto Tankers Ltd,535.17,535,MT27591013,Malta
826,SL Ship Management Ltd,1589.04,1589,MT18726720,Malta
2105,ZuluWaves Limited,2410.24,2410,MT30851503,Malta
3110,Arion Retail Group Poland Sp. z o.o.,18.0,18,PL5253064487,Poland
679,Afonso Ferreira Faria unipessoal LDa,4531.1,4531,PT513880151,Portugal
3008,"JetUp, Lda.",1383.0,1383,PT518498298,Portugal
1031,"S&C - Gestão de Navios e Tripulações, Lda.",1302.34,1302,PT502635770,Portugal
2133,Tulipa Mensageira LDA,3732.06,3732,PT517035863,Portugal
3109,Arion Retail Group Romania S.R.L.,-0.0,0,RO52745394,Romania
2097,JET ADVISOR,268.3,268,RO28308419,Romania
1577,S.C. TOYO AVIATION S.R.L.,2950.35,2950,RO21977513,Romania
420,"Zumaia Offshore, S.L.",1529.27,1529,ESB95442182,SPAIN
909,"ERZOFF-SHORE, S.L.",83.71,84,ESB06919351,Spain
2236,Espana Rope Access Solutions SL,2593.03,2593,ESB09880675,Spain
2389,Geoxyz Spain SL,218.34,218,ESB13905591,Spain
2471,C Survey,529.09,529,SE556782721601,Sweden
2670,Fjordtank Rederi AB,551.21,551,SE556633100401,Sweden
3135,FureBear AB,30.0,30,SE559389323201,Sweden
3133,Furetank Rederi AB,316.69,317,SE556371751001,Sweden
2692,HF Interior AB,559.29,559,SE556844774101,Sweden
725,Linnea Shipping A/S,2777.19,2777,SE556405820301,Sweden
2470,Manta Systems AB,348.08,348,SE559457660401,Sweden
616,OljOla Shipping AB,339.67,340,SE559151957301,Sweden
1437,Q Workforce,921.9,922,SE559200270201,Sweden
1075,Rederi AB Donsötank - EUR,4743.49,4743,SE556058292501,Sweden
2735,Sirius Agency,-50.0,-50,SE556043575101,Sweden
1655,Sirius Shipping,7556.64,7557,SE556772536001,Sweden
962,VERITAS MANAGEMENT AB,2697.02,2697,SE559003939101,Sweden
2580,West Atlantic Sweden AB,2523.14,2523,SE556062442001,Sweden
